KOD_DIAGNOZY,NAZOV_DIAGNOZY,DOPLNUJUCE_INFO
M72.95,"Fibromatóza, bližšie neurčená, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M72.96,"Fibromatóza, bližšie neurčená, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M72.97,"Fibromatóza, bližšie neurčená, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M72.98,"Fibromatóza, bližšie neurčená, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M72.99,"Fibromatóza, bližšie neurčená, miesto bližšie neurčené",
M73.-*,Choroby mäkkého tkaniva pri chorobách zatriedených inde,
M73.0-*,Gonokoková burzitída (A54.4†),
M73.00*,Gonokoková burzitída na viacerých miestach (A54.4†),
M73.01*,"Gonokoková burzitída v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (A54.4†)",
M73.02*,"Gonokoková burzitída nadlaktia (ramenná kosť, lakťový kĺb) (A54.4†)",
M73.03*,"Gonokoková burzitída predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) (A54.4†)",
M73.04*,"Gonokoková burzitída ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami) (A54.4†)",
M73.05*,"Gonokoková burzitída panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (A54.4†)",
M73.06*,"Gonokoková burzitída predkolenia (ihlica, píšťala, kolenný kĺb) (A54.4†)",
M73.07*,"Gonokoková burzitída členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (A54.4†)",
M73.08*,"Gonokoková burzitída na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica) (A54.4†)",
M73.09*,"Gonokoková burzitída, miesto bližšie neurčené (A54.4†)",
M73.1-*,Syfilitická burzitída (A52.7†),
M73.10*,Syfilitická burzitída na viacerých miestach (A52.7†),
M73.11*,"Syfilitická burzitída v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (A52.7†)",
M90.01*,"Tuberkulóza kosti v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (A18.0†)",
M90.02*,"Tuberkulóza kosti nadlaktia (ramenná kosť, lakťový kĺb) (A18.0†)",
M90.03*,"Tuberkulóza kosti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) (A18.0†)",
M90.04*,"Tuberkulóza kosti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami) (A18.0†)",
M90.05*,"Tuberkulóza kosti panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (A18.0†)",
M90.06*,"Tuberkulóza kosti predkolenia (ihlica, píšťala, kolenný kĺb) (A18.0†)",
M90.07*,"Tuberkulóza kosti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (A18.0†)",
M90.08*,"Tuberkulóza kosti na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica) (A18.0†)",
M90.09*,"Tuberkulóza kosti, miesto bližšie neurčené (A18.0†)",
M90.1-*,Periostitída pri iných infekčných chorobách zatriedených inde,Sekundárna syfilitická periostitída (A51.4†) 
M90.10*,"Periostitída pri iných infekčných chorobách zatriedených inde, na viacerých miestach",
M90.11*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M90.12*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M90.13*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M90.14*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M90.15*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M90.16*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M90.17*,"Periostitída pri iných infekčných chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M90.18*,"Periostitída pri iných infekčných chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M90.19*,"Periostitída pri iných infekčných chorobách zatriedených inde, miesto bližšie neurčené",
M90.2-*,Osteopatia pri iných infekčných chorobách zatriedených inde,"Osteomyelitída, zapríčinená:  
• echinokokom (B67.2†) 
• gonokokom (A54.4†) 
• salmonelou (A02.2†) 
Syfilitická osteopatia alebo osteochondropatia (A50.5†, A52.7†) "
M90.20*,"Osteopatia pri iných infekčných chorobách zatriedených inde, na viacerých miestach",
M90.21*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M90.22*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M90.23*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M90.24*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M90.25*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M90.26*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M90.27*,"Osteopatia pri iných infekčných chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M90.28*,"Osteopatia pri iných infekčných chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M90.29*,"Osteopatia pri iných infekčných chorobách zatriedených inde, miesto bližšie neurčené",
M90.3-*,Osteonekróza pri kesónovej chorobe (T70.3†),
M90.30*,"Osteonekróza pri kesónovej chorobe, na viacerých miestach (T70.3†)",
M90.31*,"Osteonekróza pri kesónovej chorobe, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (T70.3†)",
M90.32*,"Osteonekróza pri kesónovej chorobe, v oblasti nadlaktia (ramenná kosť, lakťový kĺb) (T70.3†)",
M90.33*,"Osteonekróza pri kesónovej chorobe, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) (T70.3†)",
M90.34*,"Osteonekróza pri kesónovej chorobe, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami) (T70.3†)",
M90.35*,"Osteonekróza pri kesónovej chorobe, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (T70.3†)",
M90.36*,"Osteonekróza pri kesónovej chorobe, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb) (T70.3†)",
M90.37*,"Osteonekróza pri kesónovej chorobe, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (T70.3†)",
M90.38*,"Osteonekróza pri kesónovej chorobe, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica) (T70.3†)",
M90.39*,"Osteonekróza pri kesónovej chorobe, miesto bližšie neurčené (T70.3†)",
M90.4-*,Osteonekróza zapríčinená hemoglobinopatiou (D50-D64†),
M90.40*,"Osteonekróza zapríčinená hemoglobinopatiou, na viacerých miestach (D50-D64†)",
M90.41*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (D50-D64†)",
M90.42*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti nadlaktia (ramenná kosť, lakťový kĺb) (D50-D64†)",
M90.43*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) D50-D64†)",
M90.44*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami )( D50-D64†)",
M90.45*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (D50-D64†)",
M90.46*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb) (D50-D64†)",
M90.47*,"Osteonekróza zapríčinená hemoglobinopatiou, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (D50-D64†)",
S10.83,Povrchové poranenie inej časti krku: uštipnutie hmyzom alebo vpich (nejedovatý),
S10.84,Povrchové poranenie inej časti krku: povrchové cudzie teleso (úlomky),
S10.85,Povrchové poranenie inej časti krku: pomliaždenie,
S10.88,Povrchové poranenie inej časti krku: iné,
S10.9-,"Povrchové poranenie krku, bližšie neurčená časť",
S10.90,"Povrchové poranenie krku, bližšie neurčená časť: druh poranenia bližšie neurčený",
S10.91,"Povrchové poranenie krku, bližšie neurčená časť: odrenina",
S10.92,"Povrchové poranenie krku, bližšie neurčená časť: tvorba pľuzgierov (netermických)",
S10.93,"Povrchové poranenie krku, bližšie neurčená časť: uštipnutie hmyzom alebo vpich (nejedovatý)",
S10.94,"Povrchové poranenie krku, bližšie neurčená časť: povrchové cudzie telesá (úlomky)",
S10.95,"Povrchové poranenie krku, bližšie neurčená časť: pomliaždenie",
S10.98,"Povrchové poranenie krku, bližšie neurčená časť: iné",
S11.-,Otvorená rana krku,"Patrí sem:  
Otvorená rana krku, bližšie neurčená 
Otvorená rana súvisiaca so zlomeninou alebo vykĺbením 
Keď treba poukázať na komplikácie, ako je cudzie teleso, infekcia alebo spomalené hojenie a ošetrenie, použite prídavný kód T89.0-  
Nepatrí sem: 
Dekapitácia (S18)"
S11.0-,"Otvorená rana, postihujúca hrtan (larynx) a priedušnicu",
S11.01,Otvorená rana hrtana,
S11.02,Otvorená rana krčnej časti priedušnice,"Nepatrí sem:  
Priedušnica, hrudníková časť (S27.5)"
S11.1,Otvorená rana postihujúca štítnu žľazu,
S11.2-,Otvorená rana postihujúca hltan (farynx) a krčnú časť pažeráka,"Nepatrí sem: 
Pažerák, bližšie neurčený (S27.83)"
S11.21,Otvorená rana hltana,
S11.22,Otvorená rana krčnej časti pažeráka,
S11.7,Viaceré otvorené rany krku,
S11.8-,Otvorená rana iných častí krku,Poznámka: pri kódoch S11.84 až S11.89 sa použije zaradenie poškodenia mäkkých častí podľa Tscherneho a Oesterna.Najprv sa kóduje zlomenina (S12.-) alebo luxácia (S13.-).
S11.80,Bližšie neurčená otvorená rana iných častí krku,"Epiglottis 
Hrdlo, bližšie neurčené 
Nadkľúčková oblasť"
S11.84!,Poškodenie mäkkých častí I. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku,"Povrchová odrenina, jednoduchá až stredne ťažká forma 
Poznámka: uzavreté zlomeniny alebo vykĺbenia s poškodením mäkkých častí 0. stupňa (malé poškodenie mäkkých častí, jednoduchá forma zlomeniny) alebo bližšie neurčeného stupňa nedostanú žiaden prídavný kód."
S11.85!,Poškodenie mäkkých častí II. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku,"Hlboká kontaminovaná odrenina, lokalizované pomliaždenie kože a svalu, všetkých foriem"
S11.86!,Poškodenie mäkkých častí III. stupňa pri zatvorenej zlomenine alebo vykĺbení na krku,"Rozsiahle pomliaždenie a rozmliaždenie kože, alebo zničenie svalstva, podkožné odlúpenie, dekompenzovaný kompartment syndróm"
S11.87!,Poškodenie mäkkých častí I. stupňa pri otvorenej zlomenine alebo vykĺbení na krku,"Žiadne alebo minimálne pomliaždenie, nevýznamná baktériová kontaminácia, jednoduchá až stredne ťažká forma 
Otvorená zlomenina alebo vykĺbenie bližšie neurčeného stupňa "
S11.88!,Poškodenie mäkkých častí II. stupňa pri otvorenej zlomenine alebo vykĺbení na krku,"Opísané pomliaždenie kože a mäkkých častí, stredne významná kontaminácia"
S11.89!,Poškodenie mäkkých častí III. stupňa pri otvorenej zlomenine alebo vykĺbení na krku,"Rozsiahle zničenie mäkkých častí často s prídavným poranením ciev a nervov, silná kontaminácia rany 
Poznámka: otvorené zlomeniny s poškodením mäkkých častí IV. stupňa (subtotálna a totálna amputácia) sa kódujú ako amputácie príslušnej lokalizácie."
S11.9,"Otvorená rana krku, bližšie neurčenej časti",
S12.-,Zlomenina krčnej chrbtice,"Patrí sem: 
Cervikálna(y):  
• chrbtica 
• priečny výbežok 
• stavec 
• tŕňovitý výbežok 
• vertebrálny oblúk 
Na zakódovanie stupňa závažnosti poškodenia mäkkých častí pri zlomenine použite prídavný kód z S11.84 – S11.89 spolu s S12. 
Poranenie krčnej miechy označujte prídavným kódom S14.- 
Na vykĺbenie pri zlomenine krčného stavca použite prídavný kód S13.- Ak nie je známe, ktorý stavec pri zlomenej krčnej chrbtice je vykĺbený, zlomenina sa kóduje na najvyššom mieste."
S12.0,Zlomenina 1.krčného stavca,Atlas (nosič)
S12.1,Zlomenina 2.krčného stavca,Axis (čapovec)
S12.2-,Zlomenina iného bližšie určeného krčného stavca,
S12.21,Zlomenina 3.krčného stavca,
S12.22,Zlomenina 4. krčného stavca,
S12.23,Zlomenina 5. krčného stavca,
S12.24,Zlomenina 6. krčného stavca,
S12.25,Zlomenina 7. krčného stavca,
S71.-,Otvorená rana bedra a stehna,"Patrí sem: 
Otvorená rana bedra a stehna, bližšie neurčená 
Otvorená rana súvisiaca so zlomeninou alebo vykĺbením 
Za účelom označenia komplikácií, ako je cudzie teleso, infekcia alebo predĺžené hojenie a liečenie, použite prídavný kód T89.0- . 
Nepatrí sem: 
Úrazová amputácia bedra a stehna (S78.-)"
S71.0,Otvorená rana bedra,
S71.1,Otvorená rana stehna,
S71.7,Viaceré otvorené rany bedra a stehna,
S71.8-,Otvorená rana inej a bližšie neurčenej časti panvového pletenca,Poznámka: pri kódoch S71.84 až S71.89 sa použije zaradenie poškodenia mäkkých častí podľa Tscherneho a Oesterna.Kódujte najprv zlomeninu (S72.-) alebo vykĺbenie (S73.-).
S71.80,Otvorená rana inej a bližšie neurčenej časti panvového pletenca,
S71.84!,Poškodenie mäkkých častí I. stupňa pri zatvorenej zlomenine alebo vykĺbení bedra a stehna,"Povrchová odrenina, jednoduchá až stredne ťažká forma 
Poznámka: uzavreté zlomeniny alebo vykĺbenia s poškodením mäkkých častí 0. stupňa (malé poškodenie mäkkých častí, jednoduchá forma zlomeniny) alebo bližšie neurčeného stupňa nedostanú žiaden prídavný kód."
S71.85!,Poškodenie mäkkých častí II. stupňa pri zatvorenej zlomenine alebo vykĺbení bedra a stehna,"Hlboká kontaminovaná odrenina, lokalizovaná kontúzia kože a svalstva, všetky formy."
S71.86!,Poškodenie mäkkých častí III. stupňa pri zatvorenej zlomenine alebo vykĺbení bedra a stehna,"Rozsiahla kontúzia kože, pomliaždenie kože alebo zničenie svalstva, podkožné odchlípenie, dekompenzovaný kompartment syndróm"
S71.87!,Poškodenie mäkkých častí I. stupňa pri otvorenej zlomenine alebo vykĺbení bedra a stehna,"Žiadne alebo minimálne pomliaždenie, nevýznamná baktériová kontaminácia, jednoduchá až stredne ťažká forma 
Otvorená zlomenina alebo vykĺbenie bližšie neurčeného stupňa "
S71.88!,Poškodenie mäkkých častí II. stupňa pri otvorenej zlomenine alebo vykĺbení bedra a stehna,"Ohraničená kontúzia kože a mäkkých častí, stredne ťažká kontaminácia"
S71.89!,Poškodenie mäkkých častí III. stupňa pri otvorenej zlomenine alebo vykĺbení bedra a stehna,"Rozsiahle zničenie mäkkých častí s často prídavným poranením ciev a nervov, silná kontaminácia rany 
Poznámka: otvorené zlomeniny s poškodením mäkkých častí IV. stupňa (subtotálna a totálna amputácia) sa kódujú ako amputácie príslušnej lokalizácie."
S72.-,Zlomenina stehnovej kosti,Na označenie stupňa poškodenia mäkkých častí pri zlomenine spolu s S72 použite prídavný kód S71.84 – S71.89.
S72.0-,Zlomenina krčka stehnovej kosti,
S72.00,"Zlomenina krčka stehnovej kosti, časť bližšie neurčená",
S72.01,"Zlomenina krčka stehnovej kosti, intrakapsulárna",
S72.02,"Zlomenina krčka stehnovej kosti, proximálna epifýza (epifyzeolýza)",
S72.03,"Zlomenina krčka stehnovej kosti, subkapitálna",
S72.04,"Zlomenina krčka stehnovej kosti, mediocervikálna","Transcervikálna, bližšie neurčené"
S72.05,"Zlomenina krčka stehnovej kosti, báza",Cervikotrochanterové odlomenie
S72.08,"Zlomenina krčka stehnovej kosti, iná časť","Hlava stehnovej kosti, bližšie neurčená 
Zlomenina bedier, bližšie neurčená"
S72.1-,Pertrochanterová zlomenina,
S72.10,"Zlomenina stehnovej kosti, trochanterová, bližšie neurčená","Transtrochanterová 
Trochanter maior 
Trochanter minor"
S72.11,"Zlomenina stehnovej kosti, intertrochanterová",
S72.2,Subtrochanterová zlomenina,
S72.3,Zlomenina diafýzy stehnovej kosti,
S72.4-,Zlomenina dolného konca stehnovej kosti,
S72.40,"Zlomenina dolného konca stehnovej kosti, časť bližšie neurčená",
S72.41,"Zlomenina dolného konca stehnovej kosti, condylus (lateralis) (medialis)",
S72.42,"Zlomenina dolného konca stehnovej kosti, epifýza (rozpustenie epifýzy)",
S72.43,"Zlomenina dolného konca stehnovej kosti, suprakondylová",
S72.44,"Zlomenina dolného konca stehnovej kosti, interkondylová",
S72.7,Viaceré zlomeniny stehnovej kosti,
S72.8,Zlomenina inej časti stehnovej kosti,
S72.9,"Zlomenina stehnovej kosti, časť bližšie neurčená",
S73.-,"Vykĺbenie, vyvrtnutie a natiahnutie kĺbu a väzov bedra","Na označenie stupňa poškodenia mäkkých častí pri vykĺbení použite spolu s S73 prídavný kód z S71.84 – S71.89. 
Nepatrí sem:  
Vyvrtnutie a natiahnutie svalov a šliach vo výške bedra a stehna (S76.-)"
S73.0-,Vykĺbenie bedra,
S73.00,"Vykĺbenie bedra, bližšie neurčené",
S73.01,"Vykĺbenie bedra, dozadu",
S73.02,"Vykĺbenie bedra, dopredu",
S73.08,"Vykĺbenie bedra, iné",
S73.1-,Vyvrtnutie a natiahnutie bedra,
S73.10,"Vyvrtnutie a natiahnutie bedrového kĺbu, časť bližšie neurčená",
S73.11,"Vyvrtnutie a natiahnutie bedrového kĺbu, iliofemorálny väz",
S73.12,"Vyvrtnutie a natiahnutie bedrového kĺbu, ischiokapsulárny väz",
M73.12*,"Syfilitická burzitída nadlaktia (ramenná kosť, lakťový kĺb) (A52.7†)",
M73.13*,"Syfilitická burzitída predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) (A52.7†)",
M73.14*,"Syfilitická burzitída ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami) (A52.7†)",
M73.15*,"Syfilitická burzitída panvovej oblasti a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (A52.7†)",
M73.16*,"Syfilitická burzitída predkolenia (ihlica, píšťala, kolenný kĺb) (A52.7†)",
M73.17*,"Syfilitická burzitída členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (A52.7†)",
M73.18*,"Syfilitická burzitída na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica) (A52.7†)",
M73.19*,"Syfilitická burzitída, miesto bližšie neurčené (A52.7†)",
M73.8-*,Iné choroby mäkkého tkaniva pri chorobách zatriedených inde,
M73.80*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, na viacerých miestach",
M73.81*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M73.82*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M73.83*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M73.84*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M73.85*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M73.86*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M73.87*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M73.88*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M73.89*,"Iné choroby mäkkého tkaniva pri chorobách zatriedených inde, miesto bližšie neurčené",
M75.-,Poškodenie pleca,"Nepatrí sem:  
Syndróm plece-ruka (algoneurodystrofia) (M89.0-)"
M75.0,Adhezívna kapsulitída pleca,"Stuhnuté plece 
Periartritída humeroskapulárna"
M75.1,Syndróm manžety rotátorov,"Ruptúra manžety rotátorov alebo natrhnutie, prípadne roztrhnutie (kompletné) (nekompletné) musculus supraspinatus, neoznačené ako úrazové 
Syndróm musculus supraspinatus "
M75.2,Tendinitída m. biceps brachii,
M75.3,Vápenatejúca tendinitída pleca,Kalcifikovaná burza pleca 
M75.4,Syndróm narazeného ramena,
M75.5,Burzitída pleca,
M75.8,Iné poškodenie pleca,
M75.9,"Poškodenie pleca, bližšie neurčené",
M76.-,"Entezopatia dolnej končatiny, okrem nohy","Poznámka: zdanlivo špecifické termíny burzitída, kapsulitída a tendinitída sa zvyčajne používajú na označenie rozličných porúch úponov periférnych väzov a svalov; väčšina týchto porúch sa pomenúva termínom entezopatia. 
Nepatrí sem:  
Burzitída zapríčinená zaťažovaním, preťažovaním a tlakom (M70.-)"
M76.0,Gluteálna tendinitída,
M76.1,Tendinítída m. psoas,
M76.2,Ostroha na crista iliaca,
M76.3,Syndróm iliotibiálneho traktu,
M76.4,Burzitída tibiálneho kolaterálneho väzu [Stieda-Pellegrini],
M76.5,Tendinitída šľachy pately,
M76.6,Tendinitída Achillovej šľachy,Burzitída Achillovej šľachy 
M76.7,Tendinitída peroneálnych svalov,
M76.8,"Iná entezopatia dolnej končatiny, okrem nohy","Tendinitída musculus tibialis anterior 
Tendinitída musculus tibialis posterior "
M76.9,"Entezopatia dolnej končatiny, bližšie neurčená",
M77.-,Iná entezopatia,"Nepatrí sem:  
Burzitída:  
• zapríčinená zaťažovaním, preťažovaním a tlakom (M70.-) 
• bližšie neurčená (M71.9) 
Osteofyt (M25.7) 
Spinálna entezopatia (M46.0)"
M77.0,Mediálna epikondylitída,
M77.1,Laterálna epikondylitída,Tenisový lakeť 
M77.2,Periartritída zápästia,
M77.3,Ostroha pätovej kosti [kohútia ostroha],
M77.4,Metatarzalgia,"Nepatrí sem:  
Poškodenie n. plantaris (Mortonova neuralgia) (G57.6)"
M77.5,Iná entezopatia nohy,
M77.8,"Iná entezopatia, nezatriedená inde",
M77.9,"Entezopatia, bližšie neurčená","Kapsulitída, bližšie neurčená  
Ostroha kosti, bližšie neurčená  
Periartritída, bližšie neurčená  
Tendinitída, bližšie neurčená "
M79.-,"Iná choroba mäkkého tkaniva, nezatriedená inde","Nepatria sem:  
Psychogénne bolesti mäkkého tkaniva (F45.40)"
M79.0-,"Reumatizmus, bližšie neurčený","Nepatria sem:  
Fibromyalgia (M79.70) 
Fibrozitída (M79.70) 
Palindromický reumatizmus (M12.3-)"
M79.00,"Reumatizmus, bližšie neurčený, na viacerých miestach",
M79.01,"Reumatizmus, bližšie neurčený, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M79.02,"Reumatizmus, bližšie neurčený, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M79.03,"Reumatizmus, bližšie neurčený, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M79.04,"Reumatizmus, bližšie neurčený, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M90.48*,"Osteonekróza zapríčinená hemoglobinopatiou, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica) (D50-D64†)",
M90.49*,"Osteonekróza zapríčinená hemoglobinopatiou, miesto bližšie neurčené (D50-D64†)",
M90.5-*,Osteonekróza pri iných chorobách zatriedených inde,
M90.50*,"Osteonekróza pri iných chorobách zatriedených inde, na viacerých miestach",
M90.51*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb)",
M90.52*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti nadlaktia (ramenná kosť, lakťový kĺb)",
M90.53*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb)",
M90.54*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami)",
M90.55*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb)",
M90.56*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb)",
M90.57*,"Osteonekróza pri iných chorobách zatriedených inde, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy)",
M90.58*,"Osteonekróza pri iných chorobách zatriedených inde, na inom mieste (hlava, krk, rebrá, lebka, trup, chrbtica)",
M90.59*,"Osteonekróza pri iných chorobách zatriedených inde, miesto bližšie neurčené",
M90.6-*,Deformujúca osteodystrofia pri nádoroch (C00-D48†),Deformujúca osteodystrofia pri zhubnom nádore kosti (C40 – C41†) 
M90.60*,"Deformujúca osteodystrofia pri nádoroch, na viacerých miestach (C00-D48†)",
M90.61*,"Deformujúca osteodystrofia pri nádoroch, v oblasti pleca (kľúčna kosť, lopatka, akromioklavikulárny, ramenný, sternoklavikulárny kĺb) (C00-D48†)",
M90.62*,"Deformujúca osteodystrofia pri nádoroch, v oblasti nadlaktia (ramenná kosť, lakťový kĺb) (C00-D48†)",
M90.63*,"Deformujúca osteodystrofia pri nádoroch, v oblasti predlaktia (lakťová kosť, vretenná kosť, zápästný kĺb) (C00-D48†)",
M90.64*,"Deformujúca osteodystrofia pri nádoroch, v oblasti ruky (zápästie, záprstie, prsty, kĺby medzi týmito kosťami) (C00-D48†)",
M90.65*,"Deformujúca osteodystrofia pri nádoroch, v oblasti panvy a stehna (panva, stehnová kosť, zadok, bedro, bedrový kĺb, sakroiliakálny kĺb) (C00-D48†)",
M90.66*,"Deformujúca osteodystrofia pri nádoroch, v oblasti predkolenia (ihlica, píšťala, kolenný kĺb) (C00-D48†)",
M90.67*,"Deformujúca osteodystrofia pri nádoroch, v oblasti členka a nohy (predpriehlavok, priehlavok, prsty nohy, členkový kĺb, iné kĺby nohy) (C00-D48†)",
